bat_ID	sex	age	DATA	Temp	Rel_Hum	WEIGTHT	ARMLETH	BODY_TEMP	Peak_Freq
2	1	2	5.24	NA	NA	23.495	60.82	36.85	68.217
3	2	2	5.31	NA	NA	21.765	59.81	33.25	69.05
16	2	2	5.31	NA	NA	20.01	59.085	32.6	69.0765
10630294	1	2	5.31	NA	NA	19.845	56.83	NA	68.853
10630312	1	2	5.31	NA	NA	23.17	59.995	32.6	NA
10630314	1	2	5.31	NA	NA	21.13	59.165	33.95	NA
10630320	1	2	5.24	NA	NA	21.385	58.595	34.05	68.435
10630322	1	2	5.31	NA	NA	21.86	59.16	32.5	69.086
10630335	2	2	6.2	NA	NA	24.48	58.205	36.4	68.5505
10630344	1	2	5.31	NA	NA	19.99	57.415	NA	NA
10630351	1	2	5.31	NA	NA	22.16	57.28	33.8	NA
10630369	2	2	5.31	NA	NA	22.735	61.78	28.15	69.0545
10630370	1	2	6.2	NA	NA	25.22	58.385	35.65	68.229
10630371	2	2	5.31	NA	NA	21.785	58.995	NA	NA
10630375	1	2	6.2	NA	NA	25.275	58.25	34.5	NA
10630379	1	2	6.2	NA	NA	22.71	57.58	36.85	68.594
10630383	1	2	5.31	NA	NA	19.53	60.15	31.4	69.0105
10630384	1	2	5.31	NA	NA	19.005	58.45	NA	68.3395
10630386	1	2	5.31	NA	NA	22.17	59.59	NA	68.795
10630388	1	2	5.31	NA	NA	19.095	57.895	NA	68.9555
FB0501	1	1	9.1	21.9	67	20.84	58.42	35.9	68.4029
FB0502	1	1	9.1	22	66.3	20.38	58.53	35.5	68.435
FB0503	1	1	9.1	21.8	67.7	18.03	57.17	35.7	68.1345
FB0504	1	1	9.1	22.2	66.8	18.78	60.58	33.9	67.754
FB0505	1	1	9.1	21.7	67.4	18.47	58.03	33.7	68.56
FB0506	2	1	9.1	21.4	68.7	18.99	58.43	35.2	68.7145
FB0507	1	1	9.1	22	67.8	18.73	59.97	34.7	68.2465
FB0508	1	1	9.1	21.8	67.5	18.75	58.31	32	68.5685
FB0509	1	1	9.1	21.6	67.5	20.52	59.67	38	68.19
FB0510	1	1	9.1	21.5	67.9	18.7	58.75	34.2	68.597
FB0511	1	1	9.1	21.5	68	18.5	58.92	34.4	68.625
FB0512	1	1	9.1	21.8	68.2	16.13	57.54	33.4	67.6545
FB0513	2	1	9.1	21.5	67.9	19.74	59.29	35.8	68.711
FB0514	1	1	9.1	21.2	68.7	18.93	58.71	34.2	68.0525
FB0515	2	1	9.1	21.1	63.4	22.95	60.64	34.6	68.911
FB0516	2	2	9.1	21.4	62.5	19.73	60.61	37.1	68.5495
FB0517	1	2	9.1	21.2	63.4	21.41	58.91	35.1	68.3725
FB0518	1	1	9.1	21	64.4	19.4	57.72	36.1	68.231
FB0519	2	1	9.1	21.3	63	19.37	58.55	36.5	68.237
FB0520	1	1	9.1	21.3	63.5	19.18	58.63	34.8	68.3355
FB0521	2	1	9.1	21.2	63.3	18.07	57.95	34.4	68.344
FB0522	2	1	9.1	21.5	62.8	18.42	57.4	34.4	68.1265
FB0523	2	1	9.1	21.6	62.6	18.69	58.21	36.7	68.214
FB0524	1	1	9.1	21.4	63.7	17.51	57.95	33.4	67.812
FB0525	1	2	9.1	21.4	63.9	19.16	56.92	32.5	67.9635
FB0526	1	2	9.1	21.4	63.4	20.94	58.03	38	68.723
FB0527	1	1	9.1	21.4	64.5	19.31	59.2	36.2	68.026
FB0528	2	1	9.1	21.2	65.1	20.27	59.65	35.4	68.656
FB0529	1	2	9.2	15	98.7	24.91	58.46	36.2	68.1715
FB0530	1	2	9.2	15.2	98	22.21	58.74	36.3	68.259
FB0531	1	2	9.2	15.4	98.5	20.71	57.3	37.3	68.183
FB0532	1	1	9.2	14.9	99.1	23.16	59.85	35.3	67.8735
FB0533	1	1	9.2	15.2	98	21.06	59.12	36.4	NA
FB0534	1	2	9.2	14.8	98.8	25.19	58.93	34.2	68.5935
FB0535	2	1	9.2	15	98.5	20.46	58.6	35.8	67.8185
FB0536	2	1	9.2	15	98.4	19.14	58.92	36.6	68.564
FB0537	2	1	9.2	15	98.2	18.14	56.81	35.4	68.6015
FB0538	1	2	9.2	14.9	98.4	23	58.09	34.5	67.8455
