1	FB1104	FB1105	FB1106	FB1107	FB1100	FB1101	FB1102	FB1103	10630320	FB1108	FB1109	FB1225	FB1224	FB1227	FB1226	FB1221	FB1220	FB1223	FB1222	10630370	10630371	FB1229	FB1228	FB1086	FB0509	FB0521	10630384	FB0523	10630386	FB0525	FB0524	10630383	FB0526	FB0529	FB0528	FB1150	10630388	FB1057	FB1113	FB1112	FB1111	FB1110	FB1117	FB1116	FB1115	FB1114	FB1119	FB1118	FB1210	FB1211	FB1212	FB1213	FB1214	FB1215	FB1216	FB1217	FB1218	FB1219	FB1058	10630379	JH5008	FB0518	FB0519	FB0514	FB0515	FB0516	FB0517	FB0510	FB0511	FB0512	FB0513	FB1209	FB1208	FB1207	FB1206	FB1205	FB1204	FB1203	FB1202	FB1201	10630351	10630335	10630375	FB1052	FB1053	3	FB0508	FB1056	FB1051	FB1054	FB1055	FB0503	FB0502	FB0501	FB1059	FB0507	FB0506	FB0505	FB0504	10630344	FB1236	FB1237	FB1049	10630294	FB1140	FB1141	FB1142	FB1143	FB1144	FB1145	FB1146	FB1147	FB1148	FB1149	FB0520	FB1079	2	FB1078	FB1238	FB1074	FB1075	FB1076	FB1239	FB1070	FB1071	FB1072	FB1073	FB0522	FB1250	FB0527	FB1096	FB1097	FB1094	FB1095	FB1092	FB1093	FB1090	FB1091	FB1098	FB1099	FB1077	16	FB1128	FB1069	FB1068	FB1063	FB1062	FB1061	FB1060	FB1067	FB1066	FB1065	FB1064	FB1243	FB1242	FB1241	FB1240	FB1247	FB1246	FB1245	FB1244	10630312	10630314	FB1085	FB1084	FB1087	FB1129	FB1081	FB1080	FB1083	FB1082	FB1122	FB1123	FB1120	FB1121	FB1126	FB1088	FB1124	FB1125	FB1089	FB1127	FB0540	FB1139	FB1138	FB1234	FB1235	FB1232	FB1233	FB1230	FB1231	FB1131	FB1130	FB1133	FB1132	FB1135	FB1134	FB1137	FB1136	10630369	FB0532	FB0533	FB0530	FB0531	FB0536	FB0537	FB0534	FB0535	FB0538	FB0539	10630322
FB1104	1	0.274420438	0.283409744	0.247609084	0.241722033	0.234230416	0.259162475	0.230674707	0.218083757	0.279959413	0.270437695	0.156364507	0.199623717	0.172156022	0.177771531	0.170186617	0.20415765	0.219901532	0.187172558	0.260890378	0.225973366	0.119915518	0.213104907	0.095035532	0.263788096	0.166031551	0.250755024	0.211125216	0.236821214	0.221383025	0.21505044	0.226620981	0.262034739	0.179891898	0.092456014	0.216278968	0.205698198	0.180870327	0.220446644	0.258482526	0.262320401	0.262756287	0.230465108	0.23553124	0.243998972	0.245121329	0.253323928	0.286962125	0.242813779	0.218874017	0.174363117	0.213650973	0.132561827	0.189474805	0.191116087	0.183776551	0.224295258	0.22019607	0.20504578	0.252227898	0.135305608	0.248317212	0.247415975	0.113298626	0.209925899	0.220273467	0.118973337	0.240636203	0.199676998	0.185208557	0.25414009	0.223838322	0.252269759	0.230565976	0.132147326	0.176014319	0.264967044	0.165967284	0.135817435	0.192147096	0.224466481	0.233894715	0.246781419	0.208493265	0.23408614	0.241832736	0.252739058	0.197013365	0.255845071	0.176939511	0.246804973	0.263796104	0.203417576	0.260659678	0.232878149	0.261174813	0.256508395	0.272093788	0.268438724	0.256942175	0.26606487	0.270517609	0.25674499	0.203605464	0.201720877	0.243699889	0.22910259	0.204434957	0.237754603	0.209203713	0.230290108	0.204290593	0.206484617	0.176932058	0.189093946	0.143534854	0.175906553	0.144655688	0.225543708	0.205960306	0.263843675	0.20937891	0.250578765	0.194068791	0.231619044	0.147423923	0.217535451	0.166712006	0.253883734	0.232341195	0.193741076	0.250575722	0.243774118	0.232025562	0.239131731	0.247730035	0.275537644	0.256816591	0.277343991	0.226725917	0.237694707	0.205383704	0.191369594	0.16398796	0.212095727	0.251794247	0.180967264	0.200707683	0.165468046	0.20903302	0.199336213	0.185937046	0.219678807	0.272126211	0.236864424	0.273259797	0.262851267	0.2620645	0.227477068	0.088257072	0.224232441	0.098299775	0.213394561	0.217913204	0.227863248	0.256700207	0.200832352	0.178510761	0.224541315	0.194562793	0.22728354	0.27573292	0.204358977	0.168825035	0.281419198	0.233110295	0.251284772	0.226679298	0.204549895	0.251625429	0.235828833	0.263236316	0.214097605	0.216196001	0.249501199	0.228067279	0.176682971	0.26922899	0.221801244	0.202698414	0.230774748	0.219151779	0.220346664	0.244995679	0.199913363	0.177678732	0.192455912	0.142277234	0.23379858	0.264789194	0.263386213	0.244552389	0.258395722	0.185255499	0.191894645	0.242722172	0.253390028	0.183554842	0.266358031	0.234843835
FB1105	0.274420438	1	0.274034195	0.245792997	0.237283523	0.237737273	0.260611454	0.240263444	0.228817114	0.272231543	0.276733461	0.152946235	0.202981893	0.176013608	0.168255028	0.160252173	0.213947246	0.216973716	0.195885335	0.255642978	0.240228877	0.128903199	0.206616294	0.104335663	0.268105415	0.172385126	0.259128937	0.201104077	0.255296808	0.217912046	0.222158089	0.221203045	0.262883994	0.185920935	0.090025111	0.219105881	0.208767462	0.185949483	0.22080788	0.275868555	0.258036821	0.244161333	0.222314342	0.234045653	0.235881654	0.251018675	0.249724698	0.27507599	0.229804969	0.22025194	0.186744813	0.215321245	0.137348924	0.194529027	0.194711074	0.184771296	0.226679845	0.23276193	0.204353599	0.259463878	0.128178719	0.248124579	0.244995888	0.124068015	0.213114139	0.228827939	0.123552681	0.242712242	0.226110786	0.196920806	0.254060454	0.222924266	0.250908874	0.228979913	0.127872071	0.17598259	0.280989481	0.165991008	0.137991271	0.190125418	0.241824269	0.235893943	0.26384305	0.216968309	0.241251036	0.256811539	0.260435491	0.194854819	0.256224549	0.185857905	0.249272712	0.269876166	0.214243216	0.2599756	0.233294399	0.253501064	0.254344315	0.274252847	0.259718497	0.270944699	0.258715474	0.260784396	0.268216795	0.212398175	0.1966701	0.248693593	0.227909853	0.210317415	0.232962214	0.211934389	0.238353932	0.195954825	0.203097625	0.180702562	0.184302632	0.149075691	0.179469539	0.149395429	0.217002213	0.209519043	0.266773025	0.198042669	0.252881506	0.19324739	0.233339905	0.150958995	0.225319762	0.165708968	0.261940377	0.244145722	0.187373511	0.257765811	0.234703994	0.238495599	0.233374144	0.234419741	0.267951693	0.260685042	0.282095197	0.232678129	0.241975935	0.201487613	0.179176998	0.169719428	0.213147685	0.262141263	0.180120528	0.196261219	0.177955553	0.20729014	0.192818768	0.187068867	0.213300638	0.269336676	0.251483211	0.259880373	0.274193711	0.249232727	0.224682892	0.095956298	0.210296595	0.106247542	0.21177656	0.219778133	0.230392354	0.260207387	0.200874627	0.177517906	0.222502601	0.194069515	0.23412663	0.272631952	0.209527023	0.17091777	0.26535312	0.230569597	0.245655575	0.231072038	0.213159184	0.239476403	0.248692813	0.268757683	0.210165812	0.212220102	0.245032949	0.226364076	0.169078469	0.261212649	0.232869962	0.19906538	0.228740136	0.224610264	0.213522664	0.248964414	0.196189905	0.179284253	0.209044202	0.144533804	0.235851472	0.255805278	0.265670842	0.238490063	0.266571855	0.188377804	0.187134051	0.24018588	0.245577181	0.193600538	0.261586938	0.249705902
FB1106	0.283409744	0.274034195	1	0.247850575	0.234140358	0.224645487	0.264342027	0.23370218	0.220286669	0.276823698	0.264072423	0.161364512	0.20120464	0.16660879	0.175215418	0.169278592	0.209026581	0.210926124	0.188326223	0.253556361	0.235159243	0.126522967	0.210707079	0.101027223	0.256929549	0.176066786	0.248259327	0.210240051	0.236890084	0.230042147	0.222017257	0.217873992	0.26153508	0.181462762	0.095203436	0.231284872	0.21039225	0.182329744	0.223661511	0.259368655	0.268428429	0.248134564	0.229080941	0.238112611	0.232826037	0.248325237	0.250966011	0.278384224	0.260667508	0.216819061	0.176187737	0.213710865	0.141328187	0.192768781	0.19200117	0.187548938	0.221302801	0.216242067	0.222439663	0.25719621	0.134954918	0.247765018	0.25792433	0.114125709	0.21478495	0.225146723	0.120942011	0.238792302	0.205845714	0.216197268	0.249423344	0.227148322	0.283758707	0.243875544	0.129689195	0.175491856	0.272873713	0.168891873	0.139367104	0.198580145	0.232872158	0.23901388	0.248610213	0.22309801	0.258306941	0.241493174	0.261095201	0.208926719	0.25126548	0.185319501	0.251157043	0.270981866	0.205041603	0.272449368	0.232246624	0.258462656	0.257662906	0.272626093	0.295131063	0.261447767	0.250423487	0.266571421	0.251632037	0.207390529	0.202999222	0.252141087	0.23683076	0.205798969	0.23321924	0.202063746	0.231999672	0.197692217	0.20060748	0.176364623	0.17806958	0.154670714	0.178688734	0.140015087	0.229454292	0.209632512	0.268179453	0.208067542	0.248500539	0.201087636	0.277200513	0.150596335	0.222860154	0.163721026	0.287550673	0.248487341	0.18491591	0.259833737	0.249477949	0.242000892	0.23602084	0.435182497	0.259806505	0.262775404	0.28986126	0.222684954	0.246989627	0.20102607	0.198632968	0.169242122	0.208637931	0.253675617	0.181513915	0.201179075	0.184924173	0.205074027	0.195541344	0.225974574	0.207988276	0.271469337	0.23447274	0.257789202	0.306900664	0.250461119	0.233456591	0.098788638	0.21971181	0.1043952	0.213608221	0.244777737	0.23273634	0.255630347	0.202926985	0.194930323	0.224514411	0.196854799	0.238413321	0.279263007	0.200375698	0.161813196	0.276795519	0.227176974	0.257911663	0.231745127	0.205149556	0.253577088	0.234903573	0.271645044	0.216240619	0.213402735	0.255592942	0.225698625	0.164846645	0.259983813	0.233466657	0.205863386	0.241106568	0.243728065	0.220806289	0.25060842	0.204518393	0.186348003	0.192576367	0.147336585	0.232068629	0.262590467	0.260821793	0.247228102	0.26415022	0.189394799	0.191404579	0.245501278	0.256527884	0.185034503	0.270362377	0.252442769
FB1107	0.247609084	0.245792997	0.247850575	1	0.225420615	0.21437769	0.246088642	0.219546711	0.202621035	0.246440851	0.241893682	0.162757736	0.188053704	0.162064525	0.163452539	0.148466187	0.184778085	0.195279593	0.185778714	0.226565248	0.211742017	0.136772354	0.199443176	0.080736821	0.232783965	0.145525334	0.223934942	0.171710479	0.222825291	0.192049091	0.202831256	0.195877645	0.227400114	0.159472076	0.067715277	0.198165199	0.180063234	0.156448011	0.207128874	0.239875378	0.25092677	0.236452216	0.210760509	0.215410654	0.216120198	0.228561251	0.222253189	0.248596955	0.220413688	0.202962186	0.170097722	0.196470655	0.145128127	0.187983739	0.185101135	0.184778502	0.211282508	0.205857702	0.190235719	0.234673187	0.126765526	0.214236685	0.224935935	0.102812215	0.192806828	0.20087584	0.102013115	0.216291887	0.17753147	0.167201049	0.230080358	0.185969483	0.223162169	0.211541917	0.125410285	0.164788807	0.232133371	0.144287944	0.124153562	0.175242146	0.207178134	0.20887466	0.22771061	0.199156024	0.215517135	0.210425038	0.232563824	0.185183907	0.230742194	0.17211487	0.218759243	0.233245948	0.186131359	0.246777542	0.212489654	0.23327158	0.236049537	0.244828259	0.237045805	0.23611812	0.232880378	0.234902366	0.229546348	0.182844293	0.177984219	0.217760838	0.198622844	0.192094251	0.270916139	0.186076109	0.197728394	0.173006933	0.184656358	0.161095634	0.154316218	0.117138924	0.151660582	0.120261188	0.216209231	0.181771989	0.236289606	0.188328153	0.224364458	0.173283284	0.224505118	0.129132846	0.195520082	0.147746774	0.215203167	0.215674199	0.188739322	0.236188602	0.221680406	0.219596158	0.228109162	0.223637692	0.238873919	0.241328228	0.251859169	0.207037711	0.208948929	0.195452946	0.171406356	0.137062141	0.19224405	0.223756467	0.170032701	0.187486102	0.16021416	0.194320938	0.185868506	0.186971134	0.197945594	0.251285715	0.220963197	0.233728504	0.246123847	0.233753385	0.212420409	0.072557654	0.197241697	0.084900142	0.209954116	0.194052168	0.208558623	0.227430108	0.181247686	0.164690934	0.199685482	0.176434851	0.210753425	0.253854547	0.180709978	0.161377874	0.246958401	0.216854514	0.227364463	0.197882144	0.191921153	0.227849073	0.215528985	0.22988937	0.191723132	0.196007689	0.229445001	0.208362425	0.176042955	0.241991857	0.20653549	0.197063239	0.205970925	0.203126291	0.186714881	0.219322935	0.176748023	0.157864407	0.171331168	0.129502788	0.214349973	0.233445348	0.22591109	0.216784891	0.239096023	0.17546763	0.172793356	0.216809788	0.225870525	0.163978494	0.223711496	0.221410747
FB1100	0.241722033	0.237283523	0.234140358	0.225420615	1	0.306236303	0.229216903	0.203952335	0.196564099	0.246425159	0.239196727	0.158712036	0.192894306	0.163583775	0.161705923	0.150024617	0.180005775	0.197657278	0.178982355	0.221432959	0.199468203	0.136273812	0.19900798	0.074802281	0.225924361	0.131033989	0.222210437	0.176636961	0.214520506	0.199892413	0.184190704	0.193565768	0.222251405	0.150750245	0.06335179	0.197113281	0.171789379	0.160234353	0.204628377	0.23510903	0.235185129	0.228912651	0.217524926	0.227055921	0.21205718	0.229005118	0.22885573	0.311599321	0.212916029	0.19666271	0.166949708	0.196897255	0.144302943	0.179220945	0.18294165	0.181049483	0.197947085	0.21071578	0.175070021	0.228802419	0.121016073	0.211901818	0.21978457	0.098359393	0.186510763	0.19591243	0.091087952	0.213456543	0.17532481	0.157846881	0.215317577	0.186762143	0.222951976	0.20379023	0.131037649	0.160555143	0.229269068	0.14454317	0.131909218	0.308945091	0.211205828	0.206479143	0.226752659	0.19531253	0.218130172	0.207055382	0.238054696	0.18369646	0.217114844	0.166963452	0.215704392	0.223151072	0.171881935	0.228856107	0.205701117	0.219431247	0.224886042	0.246356345	0.233602487	0.227533188	0.227846687	0.229223162	0.228430464	0.18108988	0.174270398	0.209670585	0.198037945	0.174420058	0.208574913	0.180497979	0.200017622	0.179154818	0.177007835	0.16008708	0.153381674	0.118280687	0.14819655	0.12233001	0.205739155	0.180599862	0.220127027	0.177825591	0.211488581	0.1685385	0.198639179	0.126146248	0.184760177	0.14636674	0.208547982	0.221935422	0.203689571	0.232583675	0.227977613	0.217343401	0.217705427	0.224039928	0.234285978	0.231627226	0.272324042	0.198741864	0.215238544	0.195398457	0.164056279	0.143786718	0.186292698	0.226082018	0.164464834	0.174071451	0.154442321	0.187788823	0.177414641	0.17593746	0.186263942	0.237242341	0.228587712	0.230974426	0.247675046	0.212671856	0.195814506	0.067860399	0.220961237	0.073063708	0.197148248	0.192088713	0.203934652	0.233502805	0.179549427	0.158273459	0.190787479	0.200356252	0.201738327	0.239939934	0.174726885	0.169827159	0.237952828	0.201656906	0.227610991	0.199093122	0.179833155	0.230803447	0.206491464	0.225719858	0.189479561	0.183663231	0.220280092	0.199117757	0.173427696	0.237403171	0.190956257	0.179212118	0.200210589	0.195327973	0.193129398	0.20958698	0.182990224	0.189271072	0.17275213	0.135717862	0.207328523	0.225172414	0.219182228	0.216794634	0.216785199	0.159945993	0.168978113	0.195711002	0.306908217	0.159208267	0.217958149	0.209013741
FB1101	0.234230416	0.237737273	0.224645487	0.21437769	0.306236303	1	0.226059401	0.204621737	0.187796822	0.234900663	0.233209774	0.153253807	0.189874075	0.158488945	0.163700818	0.13591838	0.181948726	0.187590249	0.173023884	0.221778325	0.186883864	0.134475457	0.195899731	0.058592906	0.220861208	0.126315897	0.210628155	0.174895734	0.207001935	0.186216777	0.185572749	0.184366173	0.217838126	0.145672624	0.055360878	0.184180378	0.167511996	0.144190176	0.194506179	0.226657797	0.222984919	0.224938216	0.200362694	0.217449848	0.211561265	0.222919394	0.216108855	0.244672985	0.20244875	0.199650927	0.158569338	0.198621009	0.142475891	0.170600493	0.179127628	0.182922992	0.200750597	0.20693205	0.161851451	0.219632986	0.119235245	0.203792041	0.206109522	0.096246921	0.172190973	0.180387802	0.073124197	0.204914125	0.173550285	0.151405616	0.212340305	0.187614216	0.206397161	0.18943672	0.135993596	0.166017061	0.218072952	0.141684114	0.131788015	0.311595229	0.203420342	0.195467741	0.2099163	0.17963987	0.197575891	0.196183304	0.230806488	0.166635366	0.209367618	0.151582173	0.202978188	0.210160821	0.168964428	0.224675378	0.194827122	0.225141772	0.218979391	0.24523618	0.216788684	0.227140733	0.227601177	0.223851477	0.211867439	0.168823954	0.159749674	0.197762265	0.183939385	0.174862871	0.195964108	0.173359562	0.196254048	0.169820003	0.165443372	0.159423846	0.137741829	0.104517101	0.139471249	0.10636862	0.189255067	0.172412316	0.222389051	0.164459216	0.211742107	0.157156587	0.183358451	0.120175586	0.179387283	0.147442989	0.206841775	0.204545969	0.181557031	0.22825033	0.21655155	0.215816103	0.209140726	0.211489938	0.225384437	0.223205334	0.243529671	0.199301966	0.204950337	0.182096079	0.161988042	0.131799262	0.175336257	0.215608057	0.153641977	0.162395535	0.152441481	0.17768444	0.172805978	0.165632391	0.182999676	0.225164499	0.21633271	0.213722494	0.227465169	0.203670059	0.194418793	0.057989557	0.186993143	0.06871482	0.187648103	0.185364949	0.195708013	0.210430241	0.178504423	0.150165264	0.182047468	0.167398592	0.184525233	0.221899861	0.169065234	0.17782301	0.232983709	0.188976461	0.219710683	0.185334214	0.174087468	0.218644707	0.205422116	0.20531586	0.189739136	0.182701138	0.204365226	0.19382244	0.168200009	0.2305009	0.193436408	0.189724064	0.192527067	0.191900382	0.183167905	0.199060715	0.162872573	0.145349908	0.163430957	0.130983818	0.198229687	0.215680884	0.211002165	0.205704002	0.216493729	0.151326271	0.162710993	0.194727348	0.221343297	0.147205272	0.214428948	0.200238376
FB1102	0.259162475	0.260611454	0.264342027	0.246088642	0.229216903	0.226059401	1	0.223251987	0.209511238	0.253087728	0.252910211	0.155126581	0.191986657	0.163300114	0.176185891	0.15401157	0.196632911	0.206327612	0.185855432	0.289527213	0.218222435	0.130332204	0.214774213	0.087221555	0.253731606	0.157494946	0.246568397	0.191794426	0.240938148	0.219401241	0.216111912	0.20381619	0.243124256	0.176570902	0.07423339	0.201715111	0.188711821	0.163520386	0.214990513	0.264265813	0.243512914	0.2402713	0.222197796	0.231623805	0.224911798	0.23424817	0.237771544	0.252103608	0.226447391	0.21657362	0.181784187	0.208602529	0.142339828	0.195549394	0.188189227	0.193546546	0.232719224	0.221246396	0.196959044	0.25677448	0.132051232	0.230548409	0.229035605	0.109904283	0.196060771	0.211009505	0.109700373	0.227763989	0.190530637	0.180497264	0.237684645	0.203427629	0.232879	0.217620359	0.132293489	0.174662086	0.244258596	0.161503606	0.14439899	0.187601163	0.228624056	0.227775541	0.238889437	0.206201872	0.222950136	0.222975145	0.254335241	0.194628421	0.236396389	0.169272132	0.233966127	0.24192536	0.20100329	0.246165821	0.3056084	0.254143175	0.242204178	0.261545	0.245681531	0.258460108	0.254093547	0.249691122	0.244881905	0.195582664	0.188861364	0.228560187	0.221787594	0.200218156	0.223255413	0.196120367	0.215564546	0.198237547	0.192360182	0.176025542	0.171541525	0.132114365	0.162716154	0.133054269	0.210985243	0.185591564	0.261070291	0.178010332	0.238054951	0.183885871	0.221917265	0.143490642	0.203450383	0.15179045	0.23306754	0.218920046	0.180998459	0.247954869	0.234782837	0.222497675	0.230745879	0.222162968	0.248960491	0.235926366	0.274757304	0.219893905	0.228942319	0.19166667	0.179729261	0.152214115	0.195239374	0.2417412	0.176009903	0.184396031	0.173792507	0.191447288	0.188868819	0.1834745	0.205205227	0.348392383	0.238137039	0.254243772	0.253695912	0.235935016	0.227674738	0.082814252	0.202807268	0.089390377	0.214764671	0.205236955	0.214988677	0.234587937	0.191694011	0.172060209	0.218305758	0.18480371	0.208499547	0.249533733	0.195976169	0.172094001	0.261182983	0.223415946	0.232896652	0.211519661	0.200341582	0.234086373	0.230062181	0.235939579	0.209424358	0.211129862	0.236293753	0.217921638	0.173759546	0.257639647	0.216590918	0.202543764	0.202562753	0.216301236	0.206123319	0.229254685	0.185701586	0.166159741	0.189216826	0.138435292	0.220078577	0.243017634	0.252485961	0.241026739	0.251889664	0.171070886	0.175809216	0.220384025	0.245290015	0.180854946	0.235452692	0.228812955
FB1103	0.230674707	0.240263444	0.23370218	0.219546711	0.203952335	0.204621737	0.223251987	1	0.191582484	0.230479355	0.226544149	0.149806853	0.179237597	0.157301063	0.158960935	0.131231834	0.172743702	0.189666669	0.171651005	0.215256892	0.198793173	0.133905983	0.194008561	0.06553955	0.225746971	0.137309727	0.223932048	0.170891226	0.214258202	0.181867344	0.197317445	0.190866831	0.220833033	0.147325543	0.061974218	0.194318148	0.17018509	0.14830516	0.227886063	0.229896325	0.237253791	0.224491622	0.199533283	0.209627613	0.206156871	0.221414429	0.205344318	0.231738274	0.201860181	0.192925922	0.16142879	0.18081332	0.143150972	0.177289155	0.179351671	0.181076047	0.200332754	0.201608514	0.17238944	0.21881384	0.123488343	0.206646632	0.219922587	0.09296064	0.176580143	0.18292744	0.088442802	0.214121179	0.168084123	0.154928206	0.209218128	0.187340555	0.207206386	0.197936031	0.114799637	0.159250986	0.223823574	0.136683821	0.1337938	0.161467518	0.199508404	0.2003924	0.224317183	0.190925585	0.201578107	0.19426643	0.222618524	0.174939809	0.209002113	0.169989482	0.205532588	0.216398719	0.171767463	0.221912719	0.201725968	0.221226057	0.221402526	0.23394448	0.220296019	0.225949245	0.225809826	0.228433896	0.22286373	0.176214364	0.165044225	0.197627351	0.184370296	0.177138783	0.205162428	0.181677287	0.196341254	0.178082905	0.17266307	0.164801351	0.14257122	0.106384928	0.14391769	0.114104601	0.19380586	0.167318581	0.216329814	0.164442264	0.250849659	0.157439308	0.205328251	0.12388625	0.172293309	0.14882635	0.209084581	0.215699914	0.179280525	0.224887221	0.216429751	0.213084377	0.216437697	0.214971876	0.22698344	0.231157876	0.231580833	0.192683042	0.201067291	0.180704397	0.185473269	0.130754475	0.180070316	0.218327776	0.163629635	0.163573425	0.151979587	0.181720239	0.163814902	0.174799352	0.183441821	0.224218373	0.210351592	0.222757875	0.226863168	0.215164582	0.198062998	0.072766459	0.186407385	0.07337357	0.198639229	0.178752035	0.191946284	0.207839469	0.170992559	0.151537464	0.188920265	0.1562506	0.184808585	0.235322073	0.171078318	0.163855835	0.220456609	0.187605383	0.211154577	0.186989005	0.176539882	0.212587821	0.193471575	0.220491664	0.196018198	0.192459043	0.218328128	0.196696917	0.159036884	0.225816386	0.199427839	0.179095723	0.195612325	0.192125012	0.190059788	0.206434084	0.168815903	0.143285882	0.17137103	0.139241619	0.196268063	0.218183912	0.221557845	0.212738831	0.228941133	0.158392793	0.168453374	0.205927102	0.209237444	0.155047762	0.218562754	0.207775386
10630320	0.218083757	0.228817114	0.220286669	0.202621035	0.196564099	0.187796822	0.209511238	0.191582484	1	0.21816389	0.219074959	0.158383327	0.190813628	0.166273807	0.170338588	0.147890556	0.178744302	0.183921733	0.178023738	0.201018737	0.191462801	0.14412391	0.19957116	0.086212117	0.213997115	0.137789467	0.206079301	0.174508496	0.19631245	0.179317479	0.178348284	0.191652555	0.211373906	0.139286364	0.073773465	0.172170942	0.172428202	0.147656736	0.182430306	0.215848638	0.19971933	0.203012774	0.180915165	0.193877619	0.1988338	0.200887174	0.202994542	0.220579051	0.199303225	0.190348568	0.170897918	0.188337676	0.145746897	0.184284257	0.175735537	0.183596874	0.199145896	0.191226106	0.170799876	0.204883823	0.109595623	0.195158222	0.203092162	0.112452436	0.173217662	0.182564081	0.099066549	0.205371573	0.172428021	0.162805051	0.197671944	0.178691132	0.191995784	0.180766531	0.098862018	0.133233567	0.210285693	0.123206302	0.11188983	0.148116933	0.201934206	0.204007963	0.209924945	0.184078313	0.194731414	0.189292125	0.213012006	0.166402331	0.201664732	0.148891463	0.197629436	0.213903114	0.176712554	0.212256675	0.178692172	0.212775877	0.217269341	0.219898839	0.220231916	0.216846987	0.20336241	0.207317333	0.20527319	0.169766576	0.149745536	0.187959133	0.173609119	0.153283914	0.178005337	0.160374455	0.169207049	0.149972789	0.148201947	0.136977207	0.143924924	0.127575312	0.147810653	0.127006098	0.170820511	0.17820297	0.211050318	0.166616695	0.199439267	0.169511245	0.196790624	0.138136838	0.185194716	0.139211495	0.18867485	0.192196486	0.1643979	0.215548762	0.193715414	0.198576409	0.196265567	0.200920079	0.218749364	0.211709618	0.217901388	0.18808638	0.198115643	0.186846469	0.143103019	0.147822151	0.18579128	0.214314135	0.151219303	0.163446855	0.147479188	0.190859001	0.171653148	0.176968858	0.172316582	0.209386865	0.179721413	0.207393589	0.219955353	0.198527761	0.178140645	0.074779349	0.173656691	0.100437961	0.190856496	0.184091385	0.192361789	0.194131337	0.153521085	0.16264684	0.189066751	0.164471271	0.192068073	0.211435868	0.16602307	0.152778719	0.213886281	0.185037382	0.206453997	0.168176763	0.154929995	0.208280521	0.185609479	0.209988004	0.173547216	0.165162459	0.199058483	0.176011869	0.170383967	0.215960681	0.194048616	0.181937862	0.178791242	0.168886134	0.167641397	0.187037588	0.152514593	0.134085001	0.139382429	0.098158043	0.189116358	0.211334801	0.209299138	0.203605882	0.20695023	0.157963539	0.152514212	0.192968672	0.196693957	0.145589664	0.20782147	0.202425649
FB1108	0.279959413	0.272231543	0.276823698	0.246440851	0.246425159	0.234900663	0.253087728	0.230479355	0.21816389	1	0.278925944	0.153195943	0.207231392	0.172806509	0.168585651	0.172707135	0.209751659	0.206940931	0.191384617	0.256609245	0.23289661	0.124031636	0.211959555	0.099150181	0.25975791	0.173710949	0.267763293	0.225387993	0.237746984	0.235717724	0.213255199	0.224567049	0.25926941	0.18707935	0.09193375	0.22422307	0.217706829	0.183934995	0.225100242	0.262055289	0.286495191	0.25188335	0.243831616	0.2513087	0.231071161	0.249263669	0.25201545	0.304903093	0.226198486	0.225823966	0.182456477	0.213232445	0.136390612	0.191054897	0.198198407	0.18908254	0.21214615	0.239482285	0.217876541	0.255738158	0.13512107	0.248479381	0.256470289	0.1242013	0.213655558	0.227176415	0.120461334	0.244157181	0.210426149	0.191340071	0.251818836	0.220415518	0.253867938	0.244116583	0.133654822	0.17494733	0.291668014	0.182008262	0.1391364	0.193396296	0.232459414	0.242570149	0.253006741	0.215760755	0.241467142	0.240770839	0.259383391	0.198972381	0.265174504	0.180240474	0.24159522	0.367629132	0.2093991	0.274017566	0.233018389	0.260999488	0.254302844	0.270858779	0.265451819	0.262307116	0.258533013	0.276038569	0.267300068	0.214440126	0.201563809	0.241015248	0.2332116	0.203846105	0.249543571	0.209320498	0.234051561	0.212115289	0.203663333	0.17370869	0.185255574	0.148893061	0.176993892	0.151744637	0.229029332	0.214013873	0.271584126	0.206746107	0.24614537	0.200882472	0.22765196	0.155133695	0.230647506	0.168262799	0.249967	0.239893086	0.192025205	0.259317398	0.252134564	0.229624989	0.240623417	0.246355854	0.273556468	0.257899191	0.286311125	0.235365777	0.241682978	0.205810055	0.185280661	0.169501922	0.20234851	0.259286286	0.184144743	0.206631533	0.180686807	0.201018748	0.199680448	0.193298129	0.216154237	0.282136064	0.245286908	0.257310519	0.273596945	0.259952861	0.233333967	0.100287778	0.419339003	0.100200422	0.218382043	0.225060056	0.235011415	0.254293957	0.208157454	0.183837567	0.218932467	0.207120932	0.229240416	0.282380205	0.211923528	0.184664424	0.317433851	0.230776484	0.247761625	0.232235259	0.211031381	0.251041174	0.240002075	0.267474913	0.216215623	0.227863617	0.248050678	0.232546115	0.169327359	0.272443164	0.2289377	0.200148383	0.235446527	0.231747859	0.215709789	0.258202838	0.214551741	0.175999724	0.196461077	0.145393127	0.238801658	0.271657983	0.262093563	0.244425309	0.270686833	0.194352287	0.191645903	0.251345347	0.260038972	0.193651537	0.255371706	0.25216619
