    1 [1]  1  1 0.607427 1
    1 [2]  2  2 0.607427 4
    1 [1]  2  1 0.392573 3
    1 [2]  1  2 0.392573 2
    2 [1]  1  1 0.607427 1
    2 [2]  2  2 0.607427 4
    2 [1]  2  1 0.392573 3
    2 [2]  1  2 0.392573 2
    3 [1]  1  1 1.000000 1
    3 [2]  2  1 1.000000 3
    4 [1]  1  1 1.000000 1
    4 [2]  1  2 1.000000 2
    5 [1]  1  1 1.000000 1
    5 [2]  1  2 1.000000 2
    6 [1]  1  1 1.000000 1
    6 [2]  2  1 1.000000 3
    7 [1]  2  2 1.000000 4
    7 [2]  2  2 1.000000 4
    8 [1]  1  2 1.000000 2
    8 [2]  2  2 1.000000 4
    9 [1]  2  1 1.000000 3
    9 [2]  2  2 1.000000 4
   10 [1]  1  1 1.000000 1
   10 [2]  1  2 1.000000 2
   11 [1]  1  1 1.000000 1
   11 [2]  1  2 1.000000 2
   12 [1]  1  1 1.000000 1
   12 [2]  2  1 1.000000 3
