chr,start,end,color
chr1,42456267,42456268,d
chr1,55039547,55039548,a
chr1,154405192,154405193,a
chr10,122374695,122374696,d
chr10,122461524,122461525,d
chr11,116829705,116829706,d
chr12,56362822,56362823,d
chr14,94390692,94390693,c
chr16,75207184,75207185,d
chr17,43211834,43211835,e
chr17,76711015,76711016,e
chr2,21044072,21044073,d
chr2,113107213,113107214,d
chr2,215436171,215436172,a
chr22,23961185,23961186,d
chr3,49689497,49689498,e
chr3,52830738,52830739,d
chr4,3441886,3441887,c
chr4,119322389,119322390,c
chr4,119628990,119628991,a
chr4,186226437,186226438,a
chr5,156963254,156963255,c
chr7,12211240,12211241,e
chr9,133275213,133275214,e
