chromosome position nearest_gene_name
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
16 52295597 FTO
