chr,start,end,label
chr7,12211240,12211241,TMEM106B
chr17,43211834,43211835,TMEM106A
chr5,156963254,156963255,TIMD4
chr14,94390692,94390693,SERPINA1
chr1,42456267,42456268,PPCS
chr10,122374695,122374696,PLEKHA1
chr4,119628990,119628991,PDE5A
chr4,119628990,119628991,PDE5A
chr1,55039547,55039548,PCSK9
chr17,76711015,76711016,MXRA7
chr3,49689497,49689498,MST1
chr4,186226437,186226438,KLKB1
chr3,52830738,52830739,ITIH4
chr1,154405192,154405193,IL6R
chr2,113107213,113107214,IL1RN
chr10,122461524,122461525,HTRA1
chr4,3441886,3441887,HGFAC
chr22,23961185,23961186,GSTT2B
chr2,215436171,215436172,FN1
chr4,119322389,119322390,FABP2
chr16,75207184,75207185,CTRB2
chr12,56362822,56362823,APOF
chr11,116829705,116829706,APOC3
chr2,21044072,21044073,APOB
chr9,133275213,133275214,ABO
