#chrom	txStart	cdsEnd	name2
chr1	67092164	67103382	C1orf141
chr1	67092164	67127240	C1orf141
chr1	67092164	67134970	C1orf141
chr1	67096250	67127240	C1orf141
chr1	201283505	201328836	PKP1
chr1	8352403	8364133	RERE
chr1	8352403	8656297	RERE
chr1	33513997	34165097	CSMD2
chr1	33513997	34165813	CSMD2
chr1	33521465	34165097	CSMD2
chr1	33546042	34165097	CSMD2
chr1	41847188	42035934	HIVEP3
chr1	58713055	58760197	LOC112268263
chr1	75202128	75300660	SLC44A5
chr1	75202128	75541447	SLC44A5
chr1	75202128	75615886	SLC44A5
chr1	75205717	75541447	SLC44A5
chr1	75205717	75615886	SLC44A5
chr1	75205717	75541447	SLC44A5
chr1	75211933	75615886	SLC44A5
chr1	83865023	83938004	TTLL7
chr1	83865023	83952211	TTLL7
chr1	83865023	83951920	TTLL7
chr1	92246401	92271616	GLMN
chr1	92246401	92289044	GLMN
chr1	92246401	92298554	GLMN
chr1	92246401	92297999	GLMN
chr1	92246401	92298987	GLMN
chr1	92263644	92298987	GLMN
chr1	100656244	100706157	LOC124904231
chr1	117367448	117493186	MAN1A2
chr1	117367448	117514852	MAN1A2
chr1	117367448	117523257	MAN1A2
chr1	117367448	117522957	MAN1A2
chr1	150977305	150995322	ANXA9
chr1	150977622	150995322	ANXA9
chr1	150979726	150994813	ANXA9
chr1	150981416	150995322	ANXA9
chr1	150981416	150994813	ANXA9
chr1	150982291	150995322	ANXA9
chr1	167721981	167787921	MPZL1
chr1	167721981	167787844	MPZL1
chr1	167721981	167787921	MPZL1
chr1	175944830	176206978	COP1
chr1	175944830	176175951	COP1
chr1	175944830	176184650	COP1
chr1	175944830	176206978	COP1
chr1	175953957	176149067	COP1
chr1	175953957	176175951	COP1
chr1	175953957	176206978	COP1
chr1	175953957	176184650	COP1
chr1	175953957	176206978	COP1
chr1	184387028	184619556	C1orf21
chr1	192935743	192948257	RGS2-AS1
chr1	209661358	209724125	HSD11B1-AS1
chr1	209661358	209742562	HSD11B1-AS1
chr1	209686178	209734521	HSD11B1
chr1	209704845	209734521	HSD11B1
chr1	243256040	243499785	SDCCAG8
chr1	1020119	1055399	AGRN
chr1	1020119	1054981	AGRN
chr1	1020119	1055399	AGRN
chr1	1020119	1054981	AGRN
chr1	1033992	1054981	AGRN
chr1	1041775	1054981	AGRN
chr1	1042176	1054981	AGRN
chr1	2048503	2185009	PRKCZ
chr1	2050410	2157295	PRKCZ
chr1	2050410	2168567	PRKCZ
chr1	2050410	2180526	PRKCZ
chr1	2050410	2185009	PRKCZ
chr1	2050410	2184666	PRKCZ
chr1	2050755	2180526	PRKCZ
chr1	2050755	2185009	PRKCZ
chr1	2073663	2180526	PRKCZ
chr1	2073663	2185009	PRKCZ
chr1	2073663	2185395	PRKCZ
chr1	2074070	2180526	PRKCZ
chr1	2074070	2185009	PRKCZ
chr1	2074632	2185009	PRKCZ
chr1	3069202	3433811	PRDM16
chr1	6264271	6358845	ACOT7
chr1	6264271	6360652	ACOT7
chr1	6264271	6349862	ACOT7
chr1	6264271	6385666	ACOT7
chr1	6264271	6393399	ACOT7
chr1	6785453	7370239	CAMTA1
chr1	6785453	7706211	CAMTA1
chr1	6785453	7714186	CAMTA1
chr1	6785453	7760609	CAMTA1
chr1	6785453	7766522	CAMTA1
chr1	6785453	7766491	CAMTA1
chr1	6785453	7766522	CAMTA1
chr1	6785453	7766491	CAMTA1
chr1	6785453	7766522	CAMTA1
chr1	6785453	7766491	CAMTA1
chr1	6785453	7766522	CAMTA1
chr1	6785453	7766491	CAMTA1
chr1	6785453	7766522	CAMTA1
chr1	6785453	7766491	CAMTA1
chr1	6785453	7766522	CAMTA1
chr1	6785453	7766491	CAMTA1
chr1	6799294	7766522	CAMTA1
chr1	6819080	7766522	CAMTA1
chr1	10474949	10629987	PEX14
chr1	10484492	10629987	PEX14
chr1	10484500	10629987	PEX14
chr1	11479154	11536686	DISP3
chr1	11500915	11536686	DISP3
chr1	11502094	11536686	DISP3
chr1	12567909	12580606	DHRS3
chr1	12567909	12600375	DHRS3
chr1	12567909	12580606	DHRS3
chr1	12567909	12617348	DHRS3
chr1	13892823	15063754	KAZN
chr1	13892823	15063809	KAZN
chr1	13892823	15065646	KAZN
chr1	13892823	15098934	KAZN
chr1	13892823	15114635	KAZN
chr1	13892823	15113024	KAZN
chr1	14598684	15065646	KAZN
chr1	14598684	15065797	KAZN
chr1	14598684	15113024	KAZN
chr1	14598684	15114635	KAZN
chr1	15681505	15733934	PLEKHM2
chr1	15684319	15733934	PLEKHM2
chr1	15720336	15733934	PLEKHM2
chr1	17755332	17826519	ACTL8
chr1	17759328	17826519	ACTL8
chr1	18871429	18889430	ALDH4A1
chr1	18871429	18902523	ALDH4A1
