label,chr,start,end,color
SKI,chr1,2228694,2228695,e
CLCN6,chr1,11807130,11807131,d
PLEKHM2,chr1,15684331,15684332,e
CLCNKA,chr1,16018874,16018875,d
PLA2G5,chr1,20028178,20028179,b
DHDDS,chr1,26432281,26432282,c
RPS6KA1,chr1,26529760,26529761,c
MEAF6,chr1,37514773,37514774,e
DNALI1,chr1,37556918,37556919,e
SF3A3,chr1,37990920,37990921,c
FHL3,chr1,38005605,38005606,e
UTP11,chr1,38009257,38009258,e
SCMH1,chr1,41242115,41242116,e
ZMYND12,chr1,42456115,42456116,e
CCDC30,chr1,42463329,42463330,e
EIF2B3,chr1,44986721,44986722,c
BSND,chr1,54998932,54998933,d
PCSK9,chr1,55039547,55039548,a
PLPP3,chr1,56645300,56645301,d
CELSR2,chr1,109250018,109250019,e
PSRC1,chr1,109283185,109283186,e
SORT1,chr1,109397950,109397951,c
GSTM4,chr1,109656080,109656081,d
GOLPH3L,chr1,150697143,150697144,d
CTSS,chr1,150765956,150765957,c
CTSK,chr1,150808322,150808323,b
ARNT,chr1,150876767,150876768,c
CERS2,chr1,150975003,150975004,e
ANXA9,chr1,150982016,150982017,e
TUFT1,chr1,151540304,151540305,e
RIIAD1,chr1,151710432,151710433,e
MRPL9,chr1,151763382,151763383,c
TDRKH,chr1,151791415,151791416,e
IL6R,chr1,154405192,154405193,a
CCDC181,chr1,169460668,169460669,e
RALGPS2,chr1,178776681,178776682,e
LAMC1,chr1,183023459,183023460,a
DDX59,chr1,200669968,200669969,e
SHISA4,chr1,201888679,201888680,e
LMOD1,chr1,201946587,201946588,c
RBBP5,chr1,205122014,205122015,c
DSTYK,chr1,205211565,205211566,c
TAF1A,chr1,222589823,222589824,d
MIA3,chr1,222618085,222618086,e
AIDA,chr1,222713209,222713210,e
FAM177B,chr1,222737206,222737207,e
AGT,chr1,230714296,230714297,d
NUDT5,chr10,12195963,12195964,c
CAMK1D,chr10,12349481,12349482,c
MIR1915HG,chr10,21497261,21497262,e
BAMBI,chr10,28677341,28677342,d
JCAD,chr10,30115493,30115494,e
CXCL12,chr10,44386492,44386493,c
BICC1,chr10,58513139,58513140,e
VCL,chr10,73995192,73995193,c
AP3M1,chr10,74151062,74151063,e
ADK,chr10,74151184,74151185,c
TSPAN14,chr10,80454165,80454166,d
LIPA,chr10,89414556,89414557,c
PLCE1,chr10,94030811,94030812,c
R3HCC1L,chr10,98134623,98134624,e
LOXL4,chr10,98268249,98268250,c
SCD,chr10,100347123,100347124,c
MFSD13A,chr10,102461394,102461395,e
AS3MT,chr10,102869515,102869516,c
NT5C2,chr10,103193305,103193306,c
STN1,chr10,103918204,103918205,e
SLK,chr10,103967200,103967201,c
BTBD16,chr10,122271305,122271306,e
NRIP3,chr11,9004048,9004049,e
DENND5A,chr11,9265389,9265390,e
SWAP70,chr11,9664076,9664077,d
ZDHHC5,chr11,57667746,57667747,d
MED19,chr11,57712322,57712323,e
EHBP1L1,chr11,65576037,65576038,e
KCNK7,chr11,65595995,65595996,d
SIPA1,chr11,65638096,65638097,d
RIN1,chr11,66336839,66336840,d
CTTN,chr11,70398488,70398489,d
KLHL35,chr11,75430628,75430629,d
GDPD5,chr11,75525902,75525903,e
SERPINH1,chr11,75562055,75562056,e
ARHGAP42,chr11,100738442,100738443,e
PDGFD,chr11,104164378,104164379,d
CWF19L2,chr11,107457843,107457844,c
LAYN,chr11,111540279,111540280,e
SIK2,chr11,111602390,111602391,c
ZPR1,chr11,116788049,116788050,e
VPS11,chr11,119067698,119067699,d
HMBS,chr11,119084865,119084866,c
OAF,chr11,120210766,120210767,e
TLCD5,chr11,120325128,120325129,e
ARHGEF12,chr11,120336913,120336914,e
UBASH3B,chr11,122655674,122655675,e
DCPS,chr11,126303751,126303752,c
ST3GAL4,chr11,126355639,126355640,e
CCDC77,chr12,389454,389455,e
PDE3A,chr12,20369244,20369245,a
TMEM106C,chr12,47963568,47963569,e
ASB8,chr12,48181212,48181213,e
H1-7,chr12,48328979,48328980,e
ZNF641,chr12,48351413,48351414,e
C12orf54,chr12,48482502,48482503,e
NABP2,chr12,56222014,56222015,e
SLC39A5,chr12,56230048,56230049,e
COQ10A,chr12,56266857,56266858,e
CNPY2,chr12,56316221,56316222,e
PAN2,chr12,56334052,56334053,e
IL23A,chr12,56334173,56334174,a
STAT2,chr12,56360125,56360126,d
LRP1,chr12,57128492,57128493,d
RASSF9,chr12,85836569,85836570,e
ATP2B1,chr12,89708830,89708831,d
FGD6,chr12,95217481,95217482,e
VEZT,chr12,95217745,95217746,d
CORO1C,chr12,108731595,108731596,d
CUX2,chr12,111034023,111034024,e
C12orf43,chr12,121016501,121016502,e
DNAH10,chr12,123762187,123762188,e
DNAH10OS,chr12,123934983,123934984,e
CCDC92,chr12,123972830,123972831,e
ZNF664,chr12,123973122,123973123,e
RBM23,chr14,22917801,22917802,e
HAUS4,chr14,22957160,22957161,e
ARID4A,chr14,58298384,58298385,d
SYNJ2BP,chr14,70417060,70417061,e
PGF,chr14,74955783,74955784,a
EIF2B2,chr14,75002910,75002911,c
MLH3,chr14,75051531,75051532,e
ZC2HC1C,chr14,75064169,75064170,e
NEK9,chr14,75127151,75127152,c
TMED10,chr14,75176630,75176631,e
HHIPL1,chr14,99645109,99645110,d
CYP46A1,chr14,99684303,99684304,c
CKB,chr14,103523110,103523111,c
CHP1,chr15,41230838,41230839,d
PRTG,chr15,55743089,55743090,e
NEDD4,chr15,55993745,55993746,c
LIPC,chr15,58410568,58410569,c
SMAD3,chr15,67065844,67065845,d
AAGAB,chr15,67254735,67254736,e
STOML1,chr15,73994621,73994622,e
PML,chr15,73994672,73994673,c
CYP1A1,chr15,74725609,74725610,c
CSK,chr15,74782056,74782057,c
PSTPIP1,chr15,76993358,76993359,d
TSPAN3,chr15,77083983,77083984,e
CHRNA3,chr15,78621294,78621295,a
MORF4L1,chr15,78810486,78810487,d
ADAMTS7,chr15,78811430,78811431,e
IL16,chr15,81159574,81159575,d
C15orf40,chr15,83011640,83011641,e
TM6SF1,chr15,83107406,83107407,e
HDGFL3,chr15,83208017,83208018,c
BNC1,chr15,83284713,83284714,e
PDE8A,chr15,84980439,84980440,a
HAPLN3,chr15,88895625,88895626,e
MFGE8,chr15,88913410,88913411,b
FURIN,chr15,90868591,90868592,c
FES,chr15,90883694,90883695,c
UBN1,chr16,4846664,4846665,e
DNAH3,chr16,21159440,21159441,e
XPO6,chr16,28211919,28211920,d
CCDC189,chr16,30762709,30762710,e
RNF40,chr16,30763117,30763118,e
CETP,chr16,56961849,56961850,b
NLRC5,chr16,56989484,56989485,e
NQO1,chr16,69726950,69726951,b
NOB1,chr16,69754939,69754940,e
WWP2,chr16,69762305,69762306,e
PKD1L3,chr16,71999977,71999978,d
HP,chr16,72054591,72054592,c
HPR,chr16,72063223,72063224,d
TXNL4B,chr16,72094395,72094396,e
BCAR1,chr16,75268052,75268053,d
CFDP1,chr16,75433484,75433485,e
TMEM170A,chr16,75465496,75465497,e
CDH13,chr16,82626802,82626803,d
ZFPM1,chr16,88453316,88453317,e
TIMM22,chr17,997116,997117,c
PAFAH1B1,chr17,2593209,2593210,e
AIPL1,chr17,6435198,6435199,c
PITPNM3,chr17,6556493,6556494,d
KIAA0753,chr17,6640756,6640757,e
TXNDC17,chr17,6640927,6640928,e
MED31,chr17,6651633,6651634,e
C17orf100,chr17,6651717,6651718,e
PHF23,chr17,7239721,7239722,e
GAS7,chr17,10198550,10198551,e
SREBF1,chr17,17837001,17837002,e
TOM1L2,chr17,17972421,17972422,e
DRC3,chr17,17972812,17972813,e
DRG2,chr17,18087885,18087886,e
MYO15A,chr17,18118581,18118582,e
ALDOC,chr17,28577263,28577264,d
SPAG5,chr17,28598634,28598635,e
PROCA1,chr17,28711853,28711854,e
RAB34,chr17,28718428,28718429,e
TLCD1,chr17,28727934,28727935,d
TP53I13,chr17,29566051,29566052,d
ANKRD13B,chr17,29589768,29589769,d
CORO6,chr17,29622906,29622907,e
EFCAB5,chr17,29929199,29929200,e
SSH2,chr17,29930275,29930276,e
NSRP1,chr17,30115520,30115521,e
CRLF3,chr17,30824775,30824776,d
FBXL20,chr17,39402522,39402523,e
PNMT,chr17,39667980,39667981,c
CAVIN1,chr17,42423516,42423517,d
ATP6V0A1,chr17,42458843,42458844,d
NAGLU,chr17,42536171,42536172,e
PSMC3IP,chr17,42577830,42577831,e
RETREG3,chr17,42609674,42609675,e
TUBG2,chr17,42659304,42659305,d
IFI35,chr17,43006724,43006725,e
VAT1,chr17,43025122,43025123,d
RND2,chr17,43025240,43025241,e
BRCA1,chr17,43125482,43125483,d
NBR1,chr17,43171201,43171202,e
TMEM106A,chr17,43211834,43211835,e
CCDC200,chr17,43305396,43305397,e
ARL4D,chr17,43398958,43398959,d
DHX8,chr17,43483864,43483865,c
FMNL1,chr17,45222222,45222223,c
ARHGAP27,chr17,45434420,45434421,d
PLEKHM1,chr17,45490748,45490749,d
CRHR1,chr17,45784279,45784280,b
SPPL2C,chr17,45844834,45844835,e
MAPT,chr17,45894381,45894382,c
KANSL1,chr17,46225388,46225389,e
LRRC37A2,chr17,46511510,46511511,e
WNT3,chr17,46833057,46833058,c
TTLL6,chr17,48817213,48817214,e
ATP5MC1,chr17,48892764,48892765,e
SNF8,chr17,48945116,48945117,d
ZNF652,chr17,49362115,49362116,e
NME2,chr17,51165434,51165435,c
UTP18,chr17,51260527,51260528,e
TSPOAP1,chr17,58328759,58328760,e
TEX14,chr17,58692054,58692055,d
PPM1E,chr17,58755868,58755869,e
TRIM37,chr17,59106596,59106597,e
SMG8,chr17,59209399,59209400,c
RPS6KB1,chr17,59893045,59893046,b
RNFT1,chr17,59964760,59964761,e
MRC2,chr17,62627590,62627591,e
PRKAR1A,chr17,68511779,68511780,c
ABCA8,chr17,68955391,68955392,d
UNC13D,chr17,75844716,75844717,d
WBP2,chr17,75856506,75856507,e
TRIM47,chr17,75876370,75876371,e
TRIM65,chr17,75897002,75897003,e
MRPL38,chr17,75905412,75905413,c
FBF1,chr17,75941055,75941056,e
ACOX1,chr17,75979218,75979219,e
MXRA7,chr17,76711015,76711016,e
CYTH1,chr17,78782296,78782297,d
CEP295NL,chr17,78903214,78903215,e
DLGAP1,chr18,4455334,4455335,d
RAB27B,chr18,54717859,54717860,c
BTBD2,chr19,2034880,2034881,e
PLEKHJ1,chr19,2237703,2237704,e
KDM4B,chr19,4969112,4969113,c
MARCHF2,chr19,8413269,8413270,e
PRAM1,chr19,8503111,8503112,e
CARM1,chr19,10871512,10871513,c
RGL3,chr19,11419341,11419342,e
KLF2,chr19,16324816,16324817,e
MYO9B,chr19,17075780,17075781,c
MAP1S,chr19,17719241,17719242,e
MAU2,chr19,19320844,19320845,e
ATP13A1,chr19,19663692,19663693,e
ZNF100,chr19,21767627,21767628,e
CCNE1,chr19,29811897,29811898,c
ZNF571,chr19,37594789,37594790,e
ZNF781,chr19,37678772,37678773,e
ZFP30,chr19,37692336,37692337,e
ZNF607,chr19,37719789,37719790,e
WDR87,chr19,37906676,37906677,e
CCDC97,chr19,41310188,41310189,e
TGFB1,chr19,41353910,41353911,e
B9D2,chr19,41364172,41364173,e
QPCTL,chr19,45692482,45692483,c
DMPK,chr19,45782551,45782552,c
DMWD,chr19,45792801,45792802,e
PRKD2,chr19,46717126,46717127,c
FKRP,chr19,46746045,46746046,c
NAT14,chr19,55485003,55485004,e
SSC5D,chr19,55488403,55488404,e
ADAM17,chr2,9555791,9555792,c
RAD51AP2,chr2,17518438,17518439,e
SMC6,chr2,17800241,17800242,e
OSR1,chr2,19358652,19358653,e
SELENOI,chr2,26346085,26346086,e
SLC35F6,chr2,26764283,26764284,e
CENPA,chr2,26785996,26785997,c
DPYSL5,chr2,26847746,26847747,e
PLB1,chr2,28457144,28457145,d
PPP1CB,chr2,28751639,28751640,d
TRMT61B,chr2,28870300,28870301,e
STRN,chr2,36966471,36966472,e
CEBPZOS,chr2,37196487,37196488,e
CEBPZ,chr2,37231629,37231630,e
NDUFAF7,chr2,37231713,37231714,e
PRKD3,chr2,37324807,37324808,a
ABCG5,chr2,43838864,43838865,d
ABCG8,chr2,43838963,43838964,d
PRKCE,chr2,45651344,45651345,a
GFPT1,chr2,69387253,69387254,c
NFU1,chr2,69437627,69437628,e
AAK1,chr2,69674348,69674349,c
CAPG,chr2,85418431,85418432,e
SH2D6,chr2,85418720,85418721,e
GGCX,chr2,85561546,85561547,a
RNF181,chr2,85595724,85595725,e
LONRF2,chr2,100322732,100322733,e
CHST10,chr2,100417655,100417656,e
CXCR4,chr2,136118164,136118165,a
ARHGAP15,chr2,143091361,143091362,d
FIGN,chr2,163736011,163736012,e
SCN2A,chr2,165208261,165208262,a
CALCRL,chr2,187448459,187448460,a
TFPI,chr2,187565759,187565760,b
BMPR2,chr2,202376935,202376936,c
FAM117B,chr2,202635187,202635188,e
ICA1L,chr2,202871984,202871985,e
CARF,chr2,202912226,202912227,e
NBEAL1,chr2,203014878,203014879,e
NRP2,chr2,205681989,205681990,d
TNS1,chr2,218002994,218002995,d
WNT6,chr2,218859820,218859821,d
IRS1,chr2,226799758,226799759,c
GIGYF2,chr2,232697298,232697299,e
KCNJ13,chr2,232776567,232776568,d
SNORC,chr2,232869013,232869014,e
DSTN,chr20,17569862,17569863,e
TP53INP2,chr20,34704289,34704290,e
ACSS2,chr20,34872145,34872146,e
GGT7,chr20,34872859,34872860,e
EDEM2,chr20,35147363,35147364,e
PROCR,chr20,35172072,35172073,c
EIF6,chr20,35284984,35284985,e
ACTR5,chr20,38748441,38748442,c
PPP1R16B,chr20,38805704,38805705,d
OSER1,chr20,44210790,44210791,e
NEURL2,chr20,45888886,45888887,e
PLTP,chr20,45912154,45912155,d
PREX1,chr20,48827882,48827883,d
PTGIS,chr20,49568145,49568146,c
RNF114,chr20,49936335,49936336,d
ZBTB46,chr20,63831243,63831244,e
TCEA2,chr20,64049835,64049836,e
RGS19,chr20,64079987,64079988,d
OPRL1,chr20,64080172,64080173,b
LKAAEAR1,chr20,64084358,64084359,e
MAP3K7CL,chr21,29077470,29077471,e
MRPS6,chr21,34073223,34073224,c
SLC5A3,chr21,34094862,34094863,d
LINC00310,chr21,34157723,34157724,e
KCNE2,chr21,34364023,34364024,d
HSF2BP,chr21,43659492,43659493,e
RRP1B,chr21,43659547,43659548,e
PDXK,chr21,43719093,43719094,c
ARVCF,chr22,20016807,20016808,e
SLC2A11,chr22,23857039,23857040,d
MIF,chr22,23894003,23894004,b
GSTT2B,chr22,23961185,23961186,d
DDTL,chr22,23966900,23966901,e
DDT,chr22,23980468,23980469,c
SUSD2,chr22,24181258,24181259,d
THOC5,chr22,29554253,29554254,e
TIMP3,chr22,32801700,32801701,d
APOL6,chr22,35648394,35648395,e
APOL5,chr22,35717871,35717872,e
RBFOX2,chr22,36028424,36028425,e
MPST,chr22,37019640,37019641,c
TST,chr22,37020182,37020183,e
DDX17,chr22,38507659,38507660,e
FAM227A,chr22,38656628,38656629,e
TTLL12,chr22,43187132,43187133,e
RFTN1,chr3,16514025,16514026,d
MAP4,chr3,48089271,48089272,d
CDC25A,chr3,48188401,48188402,c
CAMP,chr3,48223346,48223347,c
ZNF589,chr3,48241099,48241100,e
NME6,chr3,48301684,48301685,e
SPINK8,chr3,48328340,48328341,d
IP6K2,chr3,48740352,48740353,c
NICN1,chr3,49429325,49429326,e
APEH,chr3,49674001,49674002,d
MST1,chr3,49689497,49689498,e
INKA1,chr3,49803253,49803254,e
UBA7,chr3,49813945,49813946,e
NT5DC2,chr3,52535053,52535054,e
GNL3,chr3,52681155,52681156,e
STIMATE,chr3,52897595,52897596,e
THOC7,chr3,63863902,63863903,e
ADAMTS9,chr3,64687999,64688000,d
GXYLT2,chr3,72888072,72888073,e
UMPS,chr3,124730365,124730366,a
SLC41A3,chr3,126101560,126101561,d
PLXND1,chr3,129606817,129606818,c
NPHP3,chr3,132722441,132722442,c
CEP63,chr3,134486026,134486027,e
ANAPC13,chr3,134486715,134486716,e
KY,chr3,134651021,134651022,e
PPP2R3A,chr3,135965672,135965673,e
PCCB,chr3,136250305,136250306,e
NME9,chr3,138329885,138329886,e
MRAS,chr3,138347647,138347648,d
ESYT3,chr3,138434612,138434613,d
PIK3CB,chr3,138834937,138834938,b
ATP1B3,chr3,141876123,141876124,c
DHX36,chr3,154324496,154324497,e
TIPARP,chr3,156673234,156673235,e
MASP1,chr3,187292021,187292022,c
DGKQ,chr4,986894,986895,d
DOK7,chr4,3463310,3463311,e
SLC2A9,chr4,10054935,10054936,d
REST,chr4,56907875,56907876,e
ADAMTS3,chr4,72569385,72569386,d
SHROOM3,chr4,76435099,76435100,e
SOWAHB,chr4,76898146,76898147,e
FGF5,chr4,80266598,80266599,d
BMPR1B,chr4,94757967,94757968,c
ADH1B,chr4,99321400,99321401,a
C4orf3,chr4,119304444,119304445,e
PDE5A,chr4,119628990,119628991,a
ZNF827,chr4,145938634,145938635,e
EDNRA,chr4,147480916,147480917,a
GUCY1A1,chr4,155666710,155666711,a
PALLD,chr4,168497065,168497066,d
SORBS2,chr4,185956651,185956652,d
CYP4V2,chr4,186191519,186191520,d
F11,chr4,186265944,186265945,a
IRX1,chr5,3596053,3596054,e
SEMA5A,chr5,9546074,9546075,d
ITGA1,chr5,52787895,52787896,d
SETD9,chr5,56909259,56909260,e
FER,chr5,108747821,108747822,c
FBN2,chr5,128659184,128659185,d
FAM53C,chr5,138331934,138331935,e
ADAM19,chr5,157575774,157575775,d
NKX2-5,chr5,173235356,173235357,e
LINC01600,chr6,2634602,2634603,e
LYRM4,chr6,5260938,5260939,c
